ST_CASE,State Name,State Abbreviation,VE_TOTAL,Pedestrains,Total_Persons_in_accident,COUNTY,CITY,City_County_Name,Calendar_DAY,MONTH,Month_Name,YEAR,DAY_WEEK,Day_Week_desc,HOUR,MINUTE,NHS_Desc,trafficway,ROUTE,MILEPT,LATITUDE,LONGITUD,First_Crash_event,Light_cond_desc,Weather_condition,WEATHER,SCH_BUS,Crash_cause,FATALS,DRUNK_DR
10001,ALABAMA,AL,1,0,2,81,2340,AUBURN,15,1,January,2010,6,Friday,4,10,1,11,1,621,32.64106389,-85.35469167,42,3,0,1,0,0,1,1
10002,ALABAMA,AL,1,0,1,35,1080,BROOKLYN,11,1,January,2010,2,Monday,6,0,0,16,6,0,31.43044722,-86.95669444,30,3,0,1,0,0,1,0
10003,ALABAMA,AL,3,0,3,97,2100,AXIS,14,1,January,2010,5,Thursday,15,10,0,12,2,0,30.69163056,-88.08577778,12,1,0,1,0,0,1,0
10004,ALABAMA,AL,2,0,2,115,160,ASHVILLE,21,1,January,2010,5,Thursday,1,16,0,14,2,2400,33.86870000,-86.29116389,12,3,0,2,0,0,1,0
10005,ALABAMA,AL,2,0,2,117,0,BIRMINGHAM,4,1,January,2010,2,Monday,6,38,1,11,1,2440,33.30974167,-86.78722222,12,4,0,1,0,0,1,0
10006,ALABAMA,AL,1,0,1,21,0,CHILTON,1,1,January,2010,6,Friday,5,34,1,1,1,2043,32.78581389,-86.57450833,32,4,0,2,0,0,1,0
10007,ALABAMA,AL,1,0,2,97,0,AXIS,1,1,January,2010,6,Friday,2,40,0,4,3,45,30.46146389,-88.29401944,53,3,0,2,0,0,2,0
10008,ALABAMA,AL,1,0,4,9,0,BLOUNT,2,1,January,2010,7,Saturday,15,37,0,3,3,334,33.99555556,-86.43900278,31,3,0,1,0,0,1,0
10009,ALABAMA,AL,1,0,2,51,0,CENTRAL,2,1,January,2010,7,Saturday,9,55,0,4,4,0,32.70871667,-86.14818611,1,1,0,1,0,0,1,0
10010,ALABAMA,AL,2,0,4,113,0,COTTONTON,3,1,January,2010,1,Sunday,13,50,0,4,3,202,32.25259444,-85.00338333,12,1,0,1,0,0,1,1
10011,ALABAMA,AL,1,0,1,95,0,ALBERTVILLE,4,1,January,2010,2,Monday,5,50,0,4,4,0,34.32906111,-86.16592222,17,4,0,1,0,0,1,0
10012,ALABAMA,AL,1,0,3,91,0,DAYTON,4,1,January,2010,2,Monday,16,20,0,5,4,0,31.99410000,-87.86773056,42,1,0,1,0,0,1,1
10013,ALABAMA,AL,1,0,3,125,0,BROOKWOOD,5,1,January,2010,3,Tuesday,23,30,0,5,4,0,33.06655000,-87.53685278,42,6,0,1,0,0,1,1
10014,ALABAMA,AL,2,0,2,9,1600,BLOUNT,6,1,January,2010,4,Wednesday,17,1,0,3,3,47,33.88872778,-86.76163056,12,3,0,1,0,0,1,0
10015,ALABAMA,AL,1,0,1,47,0,BROWNS,6,1,January,2010,4,Wednesday,15,21,0,4,4,0,32.58800833,-86.92938056,34,1,0,1,0,0,1,0
10016,ALABAMA,AL,2,0,2,127,0,BURNWELL,7,1,January,2010,5,Thursday,9,5,0,4,3,318,33.69823889,-87.25543611,12,1,0,1,0,0,1,0
10017,ALABAMA,AL,1,0,4,19,0,CEDAR BLUFF,7,1,January,2010,5,Thursday,15,0,0,3,3,251,34.23519444,-85.79175278,1,1,0,4,0,0,1,0
10018,ALABAMA,AL,2,0,3,99,0,BEATRICE,7,1,January,2010,5,Thursday,13,30,1,2,2,670,31.50969444,-87.48523611,12,1,0,2,0,0,2,0
10019,ALABAMA,AL,1,0,2,101,0,BOYLSTON,10,1,January,2010,1,Sunday,4,37,1,3,2,932,32.03341944,-86.03257222,53,3,0,1,0,0,1,1
10020,ALABAMA,AL,2,0,3,43,0,BAILEYTON,7,1,January,2010,5,Thursday,16,49,1,2,2,654,34.20842222,-87.05831944,12,5,0,4,0,0,1,0
10021,ALABAMA,AL,2,0,3,95,0,ALBERTVILLE,7,1,January,2010,5,Thursday,16,34,0,3,3,522,34.21050556,-86.28487222,12,3,0,1,0,0,1,0
10022,ALABAMA,AL,1,1,1,55,0,ATTALLA,11,1,January,2010,2,Monday,6,28,0,2,2,2241,34.07256944,-85.91920000,8,1,0,1,0,0,1,0
10023,ALABAMA,AL,2,0,2,103,890,DANVILLE,11,1,January,2010,2,Monday,13,4,1,2,3,0,34.54016667,-86.91805833,12,1,0,1,0,0,1,0
10024,ALABAMA,AL,2,1,2,49,0,COLLINSVILLE,12,1,January,2010,3,Tuesday,15,5,0,4,3,153,34.25094722,-86.10614167,8,1,0,1,0,0,1,0
10025,ALABAMA,AL,1,0,1,97,0,AXIS,13,1,January,2010,4,Wednesday,3,30,0,6,4,0,30.46113611,-88.25905833,42,3,0,1,0,0,1,0
10026,ALABAMA,AL,1,0,1,101,0,BOYLSTON,14,1,January,2010,5,Thursday,0,1,1,2,2,857,32.12425278,-86.27341389,34,3,0,1,0,0,1,0
10027,ALABAMA,AL,1,0,1,109,0,ANSLEY,16,1,January,2010,7,Saturday,5,0,0,3,3,235,31.66762778,-85.83286667,42,3,0,2,0,0,1,0
